ALLCOINS ANALYSIS

#BTC
1/ Autocorrelations of series ‘X’, by lag

   -17    -16    -15    -14    -13    -12    -11    -10     -9     -8     -7     -6     -5     -4     -3     -2     -1      0 
-0.042  0.003 -0.015 -0.056 -0.064 -0.042 -0.061 -0.006 -0.069 -0.094  0.016 -0.117 -0.069 -0.114  0.015 -0.063 -0.061 -0.042 
     1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17 
 0.169  0.082  0.154  0.075  0.184  0.168  0.107  0.133  0.121  0.089 -0.014  0.072  0.107  0.065  0.103  0.139  0.005 

2/ Tests for zero cross-correlation of x and y

|  Lag|     CC|  Stand. CB(95%)|  Robust CB(95%)|  Lag|      t| p-value| t-tilde| p-value|  Lag|     HB| p-value| Q-tilde| p-value|
|   38| -0.003| (-0.189, 0.189)| (-0.165, 0.165)|   38| -0.032|   0.974|  -0.037|   0.971|   38| 40.660|   0.397|  39.929|   0.429|
|   39|  0.012| (-0.189, 0.189)| (-0.153, 0.153)|   39|  0.120|   0.905|   0.148|   0.882|   39| 40.683|   0.440|  39.951|   0.472|
|   40| -0.017| (-0.189, 0.189)| (-0.149, 0.149)|   40| -0.181|   0.856|  -0.229|   0.819|   40| 40.735|   0.482|  40.004|   0.515|
|   41|  0.015| (-0.189, 0.189)| (-0.126, 0.126)|   41|  0.157|   0.875|   0.235|   0.814|   41| 40.775|   0.525|  40.059|   0.556|
|   42| -0.072| (-0.189, 0.189)| (-0.184, 0.184)|   42| -0.752|   0.452|  -0.770|   0.441|   42| 41.700|   0.528|  40.651|   0.574|
|   43| -0.015| (-0.189, 0.189)| (-0.155, 0.155)|   43| -0.151|   0.880|  -0.184|   0.854|   43| 41.738|   0.569|  40.685|   0.614|
|   44|  0.018| (-0.189, 0.189)| (-0.206, 0.206)|   44|  0.192|   0.848|   0.175|   0.861|   44| 41.800|   0.608|  40.716|   0.654|
|   45|  0.016| (-0.189, 0.189)| (-0.142, 0.142)|   45|  0.169|   0.866|   0.225|   0.822|   45| 41.849|   0.647|  40.767|   0.691|
|   46|  0.051| (-0.189, 0.189)| (-0.235, 0.235)|   46|  0.533|   0.594|   0.427|   0.669|   46| 42.344|   0.666|  40.949|   0.720|
|   47| -0.013| (-0.189, 0.189)| (-0.205, 0.205)|   47| -0.133|   0.894|  -0.122|   0.903|   47| 42.375|   0.702|  40.964|   0.754|
|   48|  0.050| (-0.189, 0.189)| (-0.230, 0.230)|   48|  0.518|   0.604|   0.425|   0.671|   48| 42.859|   0.719|  41.145|   0.780|
|   49| -0.028| (-0.189, 0.189)| (-0.159, 0.159)|   49| -0.294|   0.768|  -0.350|   0.726|   49| 43.018|   0.747|  41.268|   0.806|
|   50| -0.078| (-0.189, 0.189)| (-0.200, 0.200)|   50| -0.815|   0.415|  -0.770|   0.441|   50| 44.254|   0.737|  41.860|   0.816|
|   51| -0.044| (-0.189, 0.189)| (-0.158, 0.158)|   51| -0.457|   0.648|  -0.545|   0.585|   51| 44.650|   0.755|  42.127|   0.834|
|   52| -0.036| (-0.189, 0.189)| (-0.182, 0.182)|   52| -0.376|   0.707|  -0.390|   0.697|   52| 44.923|   0.777|  42.279|   0.854|
|   53| -0.067| (-0.189, 0.189)| (-0.128, 0.128)|   53| -0.694|   0.488|  -1.026|   0.305|   53| 45.868|   0.777|  43.331|   0.850|
|   54| -0.068| (-0.189, 0.189)| (-0.188, 0.188)|   54| -0.705|   0.481|  -0.708|   0.479|   54| 46.863|   0.774|  43.831|   0.860|
|   55| -0.089| (-0.189, 0.189)| (-0.149, 0.149)|   55| -0.928|   0.354|  -1.176|   0.240|   55| 48.616|   0.748|  44.869|   0.857|
|   56| -0.095| (-0.189, 0.189)| (-0.159, 0.159)|   56| -0.986|   0.324|  -1.168|   0.243|   56| 50.637|   0.711|  46.234|   0.845|
|   57| -0.075| (-0.189, 0.189)| (-0.103, 0.103)|   57| -0.775|   0.438|  -1.420|   0.156|   57| 51.909|   0.700|  48.250|   0.816|
|   58| -0.098| (-0.189, 0.189)| (-0.125, 0.125)|   58| -1.016|   0.310|  -1.534|   0.125|   58| 54.139|   0.655|  50.604|   0.774|
|   59| -0.082| (-0.189, 0.189)| (-0.123, 0.123)|   59| -0.848|   0.396|  -1.298|   0.194|   59| 55.723|   0.633|  51.745|   0.767|
|   60| -0.120| (-0.189, 0.189)| (-0.140, 0.140)|   60| -1.242|   0.214|  -1.670|   0.095|   60| 59.197|   0.542|  55.025|   0.691|
|   61| -0.074| (-0.189, 0.189)| (-0.118, 0.118)|   61| -0.769|   0.442|  -1.232|   0.218|   61| 60.555|   0.528|  56.544|   0.672|
|   62| -0.084| (-0.189, 0.189)| (-0.122, 0.122)|   62| -0.877|   0.381|  -1.351|   0.177|   62| 62.360|   0.499|  58.368|   0.642|
|   63| -0.062| (-0.189, 0.189)| (-0.127, 0.127)|   63| -0.641|   0.521|  -0.955|   0.340|   63| 63.348|   0.500|  59.279|   0.644|
|   64| -0.030| (-0.189, 0.189)| (-0.112, 0.112)|   64| -0.308|   0.758|  -0.521|   0.603|   64| 63.581|   0.527|  59.550|   0.668|
|   65| -0.028| (-0.189, 0.189)| (-0.094, 0.094)|   65| -0.290|   0.771|  -0.584|   0.559|   65| 63.793|   0.554|  59.891|   0.688|
|   66| -0.062| (-0.189, 0.189)| (-0.145, 0.145)|   66| -0.648|   0.517|  -0.845|   0.398|   66| 64.874|   0.551|  60.606|   0.696|
|   67| -0.055| (-0.189, 0.189)| (-0.133, 0.133)|   67| -0.566|   0.571|  -0.800|   0.423|   67| 65.719|   0.556|  61.247|   0.706|
|   68| -0.060| (-0.189, 0.189)| (-0.136, 0.136)|   68| -0.620|   0.535|  -0.862|   0.389|   68| 66.757|   0.554|  61.990|   0.713|
|   69| -0.001| (-0.189, 0.189)| (-0.126, 0.126)|   69| -0.012|   0.990|  -0.019|   0.985|   69| 66.758|   0.588|  61.990|   0.741|
|   70| -0.009| (-0.189, 0.189)| (-0.113, 0.113)|   70| -0.089|   0.929|  -0.148|   0.882|   70| 66.780|   0.620|  62.012|   0.768|
|   71|  0.068| (-0.189, 0.189)| (-0.148, 0.148)|   71|  0.708|   0.479|   0.903|   0.366|   71| 68.242|   0.604|  62.828|   0.771|
|   72| -0.003| (-0.189, 0.189)| (-0.108, 0.108)|   72| -0.028|   0.978|  -0.049|   0.961|   72| 68.244|   0.636|  62.830|   0.796|
|   73|  0.072| (-0.189, 0.189)| (-0.114, 0.114)|   73|  0.748|   0.454|   1.243|   0.214|   73| 69.972|   0.611|  64.375|   0.780|
|   74|  0.058| (-0.189, 0.189)| (-0.110, 0.110)|   74|  0.605|   0.545|   1.035|   0.301|   74| 71.134|   0.605|  65.446|   0.777|
|   75|  0.026| (-0.189, 0.189)| (-0.119, 0.119)|   75|  0.273|   0.785|   0.432|   0.666|   75| 71.379|   0.629|  65.633|   0.796|
|   76|  0.057| (-0.189, 0.189)| (-0.099, 0.099)|   76|  0.588|   0.557|   1.126|   0.260|   76| 72.546|   0.623|  66.900|   0.788|
|   77|  0.092| (-0.189, 0.189)| (-0.088, 0.088)|   77|  0.953|   0.341|   2.050|   0.040|   77| 75.711|   0.552|  71.100|   0.697|
|   78|  0.085| (-0.189, 0.189)| (-0.081, 0.081)|   78|  0.883|   0.377|   2.059|   0.039|   78| 78.515|   0.494|  75.341|   0.596|
|   79|  0.012| (-0.189, 0.189)| (-0.096, 0.096)|   79|  0.125|   0.901|   0.245|   0.806|   79| 78.573|   0.524|  75.401|   0.625|
|   80|  0.060| (-0.189, 0.189)| (-0.079, 0.079)|   80|  0.620|   0.535|   1.474|   0.141|   80| 80.058|   0.509|  77.573|   0.587|
|   81| -0.019| (-0.189, 0.189)| (-0.153, 0.153)|   81| -0.195|   0.845|  -0.241|   0.810|   81| 80.210|   0.535|  77.631|   0.616|
|   82| -0.007| (-0.189, 0.189)| (-0.114, 0.114)|   82| -0.068|   0.946|  -0.113|   0.910|   82| 80.229|   0.566|  77.644|   0.645|
|   83| -0.066| (-0.189, 0.189)| (-0.146, 0.146)|   83| -0.686|   0.493|  -0.887|   0.375|   83| 82.260|   0.533|  78.430|   0.651|
|   84| -0.024| (-0.189, 0.189)| (-0.079, 0.079)|   84| -0.255|   0.799|  -0.605|   0.545|   84| 82.551|   0.555|  78.796|   0.669|
|   85| -0.047| (-0.189, 0.189)| (-0.081, 0.081)|   85| -0.493|   0.622|  -1.146|   0.252|   85| 83.692|   0.550|  80.109|   0.659|
|   86|  0.005| (-0.189, 0.189)| (-0.054, 0.054)|   86|  0.057|   0.955|   0.200|   0.842|   86| 83.708|   0.580|  80.149|   0.685|
|   87| -0.034| (-0.189, 0.189)| (-0.057, 0.057)|   87| -0.358|   0.720|  -1.193|   0.233|   87| 84.368|   0.590|  81.572|   0.672|
|   88| -0.046| (-0.189, 0.189)| (-0.054, 0.054)|   88| -0.475|   0.635|  -1.669|   0.095|   88| 85.584|   0.583|  84.356|   0.619|
|   89| -0.012| (-0.189, 0.189)| (-0.044, 0.044)|   89| -0.121|   0.904|  -0.524|   0.600|   89| 85.667|   0.610|  84.630|   0.640|
|   90| -0.008| (-0.189, 0.189)| (-0.051, 0.051)|   90| -0.087|   0.931|  -0.323|   0.747|   90| 85.712|   0.637|  84.735|   0.665|
|   91| -0.026| (-0.189, 0.189)| (-0.050, 0.050)|   91| -0.265|   0.791|  -0.995|   0.320|   91| 86.160|   0.652|  85.726|   0.664|
|   92|  0.003| (-0.189, 0.189)| (-0.027, 0.027)|   92|  0.028|   0.978|   0.193|   0.847|   92| 86.165|   0.679|  85.763|   0.690|
|   93|  0.029| (-0.189, 0.189)| (-0.021, 0.021)|   93|  0.297|   0.767|   2.625|   0.009|   93| 86.799|   0.688|  92.655|   0.520|
|   94|  0.025| (-0.189, 0.189)| (-0.033, 0.033)|   94|  0.258|   0.796|   1.472|   0.141|   94| 87.313|   0.700|  94.822|   0.486|
|   95|  0.026| (-0.189, 0.189)| (-0.046, 0.046)|   95|  0.267|   0.789|   1.091|   0.275|   95| 87.906|   0.710|  96.013|   0.480|
|   96|  0.028| (-0.189, 0.189)| (-0.030, 0.030)|   96|  0.289|   0.773|   1.819|   0.069|   96| 88.656|   0.715|  99.322|   0.416|
|   97|  0.001| (-0.189, 0.189)| (-0.013, 0.013)|   97|  0.006|   0.995|   0.083|   0.934|   97| 88.656|   0.740|  99.329|   0.444|
|   98|  0.012| (-0.189, 0.189)| (-0.031, 0.031)|   98|  0.127|   0.899|   0.775|   0.438|   98| 88.832|   0.758|  99.930|   0.455|
|   99|  0.007| (-0.189, 0.189)| (-0.040, 0.040)|   99|  0.073|   0.942|   0.342|   0.732|   99| 88.896|   0.779| 100.047|   0.480|
|  100| -0.006| (-0.189, 0.189)| (-0.018, 0.018)|  100| -0.064|   0.949|  -0.675|   0.500|  100| 88.950|   0.799| 100.502|   0.495|
|  101|  0.002| (-0.189, 0.189)| (-0.012, 0.012)|  101|  0.021|   0.984|   0.316|   0.752|  101| 88.957|   0.818| 100.602|   0.521|
|  102|  0.005| (-0.189, 0.189)| (-0.028, 0.028)|  102|  0.049|   0.961|   0.332|   0.740|  102| 89.001|   0.836| 100.712|   0.545|
|  103| -0.004| (-0.189, 0.189)| (-0.015, 0.015)|  103| -0.042|   0.966|  -0.532|   0.595|  103| 89.039|   0.852| 100.995|   0.565|
|  104| -0.004| (-0.189, 0.189)| (-0.012, 0.012)|  104| -0.043|   0.966|  -0.677|   0.499|  104| 89.088|   0.867| 101.453|   0.580|
|  105|  0.002| (-0.189, 0.189)| (-0.017, 0.017)|  105|  0.020|   0.984|   0.225|   0.822|  105| 89.102|   0.881| 101.504|   0.605|
|  106| -0.026| (-0.189, 0.189)| (-0.051, 0.051)|  106| -0.272|   0.786|  -0.997|   0.319|  106| 93.087|   0.829| 102.497|   0.605|
|  107|  0.000| (-0.189, 0.189)| (-0.001, 0.001)|  107|  0.005|   0.996|   1.000|   0.317|  107| 93.090|   0.846| 103.497|   0.605|





#ETH

1/ Autocorrelations of series ‘X’, by lag

   -17    -16    -15    -14    -13    -12    -11    -10     -9     -8     -7     -6     -5     -4     -3     -2     -1      0 
 0.030  0.004 -0.112 -0.128 -0.240 -0.143 -0.104 -0.103 -0.126 -0.141 -0.112 -0.122 -0.135 -0.134 -0.186 -0.110 -0.032 -0.088 
     1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17 
 0.002 -0.094  0.085  0.057  0.097  0.062  0.061 -0.043 -0.040 -0.024  0.065 -0.096 -0.101 -0.076 -0.076  0.102 -0.051 


2/ Tests for zero cross-correlation of x and y

|  Lag|     CC|  Stand. CB(95%)|  Robust CB(95%)|  Lag|      t| p-value| t-tilde| p-value|  Lag|      HB| p-value| Q-tilde| p-value|
|----:|------:|---------------:|---------------:|----:|------:|-------:|-------:|-------:|----:|-------:|-------:|-------:|-------:|
| -107|  0.000| (-0.189, 0.189)| ( 0.000, 0.000)| -107|  0.002|   0.998|   1.000|   0.317| -107| 158.953|   0.001| 177.029|   0.000|
| -106| -0.008| (-0.189, 0.189)| (-0.016, 0.016)| -106| -0.082|   0.935|  -0.986|   0.324| -106| 158.952|   0.001| 176.029|   0.000|
| -105| -0.004| (-0.189, 0.189)| (-0.009, 0.009)| -105| -0.038|   0.970|  -0.824|   0.410| -105| 158.589|   0.001| 175.057|   0.000|
| -104| -0.021| (-0.189, 0.189)| (-0.032, 0.032)| -104| -0.215|   0.830|  -1.263|   0.206| -104| 158.536|   0.001| 174.378|   0.000|
| -103| -0.004| (-0.189, 0.189)| (-0.019, 0.019)| -103| -0.039|   0.969|  -0.400|   0.689| -103| 157.291|   0.001| 172.782|   0.000|
| -102| -0.036| (-0.189, 0.189)| (-0.038, 0.038)| -102| -0.378|   0.706|  -1.889|   0.059| -102| 157.258|   0.000| 172.622|   0.000|
| -101| -0.018| (-0.189, 0.189)| (-0.030, 0.030)| -101| -0.187|   0.852|  -1.167|   0.243| -101| 154.688|   0.001| 169.053|   0.000|
| -100| -0.030| (-0.189, 0.189)| (-0.042, 0.042)| -100| -0.313|   0.754|  -1.410|   0.158| -100| 154.148|   0.001| 167.692|   0.000|
|  -99| -0.031| (-0.189, 0.189)| (-0.051, 0.051)|  -99| -0.326|   0.744|  -1.209|   0.227|  -99| 152.822|   0.001| 165.703|   0.000|
|  -98| -0.035| (-0.189, 0.189)| (-0.038, 0.038)|  -98| -0.359|   0.719|  -1.788|   0.074|  -98| 151.544|   0.001| 164.241|   0.000|
|  -97| -0.018| (-0.189, 0.189)| (-0.035, 0.035)|  -97| -0.184|   0.854|  -1.002|   0.316|  -97| 150.151|   0.001| 161.042|   0.000|
|  -96| -0.040| (-0.189, 0.189)| (-0.048, 0.048)|  -96| -0.418|   0.676|  -1.645|   0.100|  -96| 149.818|   0.000| 160.039|   0.000|
|  -95| -0.019| (-0.189, 0.189)| (-0.058, 0.058)|  -95| -0.196|   0.844|  -0.635|   0.525|  -95| 148.243|   0.000| 157.332|   0.000|
|  -94| -0.026| (-0.189, 0.189)| (-0.034, 0.034)|  -94| -0.268|   0.789|  -1.479|   0.139|  -94| 147.923|   0.000| 156.929|   0.000|
|  -93|  0.018| (-0.189, 0.189)| (-0.041, 0.041)|  -93|  0.186|   0.852|   0.861|   0.389|  -93| 147.369|   0.000| 154.742|   0.000|
|  -92|  0.020| (-0.189, 0.189)| (-0.057, 0.057)|  -92|  0.204|   0.838|   0.675|   0.500|  -92| 147.119|   0.000| 154.002|   0.000|
|  -91|  0.046| (-0.189, 0.189)| (-0.076, 0.076)|  -91|  0.478|   0.632|   1.188|   0.235|  -91| 146.838|   0.000| 153.546|   0.000|
|  -90|  0.072| (-0.189, 0.189)| (-0.088, 0.088)|  -90|  0.744|   0.457|   1.589|   0.112|  -90| 145.384|   0.000| 152.134|   0.000|
|  -89|  0.100| (-0.189, 0.189)| (-0.085, 0.085)|  -89|  1.037|   0.300|   2.298|   0.022|  -89| 142.058|   0.000| 149.609|   0.000|
|  -88|  0.096| (-0.189, 0.189)| (-0.102, 0.102)|  -88|  0.995|   0.320|   1.836|   0.066|  -88| 135.946|   0.001| 144.328|   0.000|
|  -87|  0.096| (-0.189, 0.189)| (-0.102, 0.102)|  -87|  0.997|   0.319|   1.846|   0.065|  -87| 130.605|   0.002| 140.955|   0.000|
|  -86|  0.065| (-0.189, 0.189)| (-0.084, 0.084)|  -86|  0.678|   0.498|   1.519|   0.129|  -86| 125.493|   0.004| 137.547|   0.000|
|  -85|  0.040| (-0.189, 0.189)| (-0.052, 0.052)|  -85|  0.418|   0.676|   1.523|   0.128|  -85| 123.235|   0.005| 136.783|   0.000|
|  -84|  0.023| (-0.189, 0.189)| (-0.051, 0.051)|  -84|  0.234|   0.815|   0.861|   0.389|  -84| 122.413|   0.005| 134.464|   0.001|
|  -83| -0.054| (-0.189, 0.189)| (-0.059, 0.059)|  -83| -0.565|   0.572|  -1.799|   0.072|  -83| 122.166|   0.004| 133.722|   0.000|
|  -82| -0.032| (-0.189, 0.189)| (-0.079, 0.079)|  -82| -0.337|   0.736|  -0.808|   0.419|  -82| 120.789|   0.004| 130.487|   0.001|
|  -81| -0.076| (-0.189, 0.189)| (-0.093, 0.093)|  -81| -0.789|   0.430|  -1.604|   0.109|  -81| 120.317|   0.004| 129.834|   0.001|
|  -80| -0.012| (-0.189, 0.189)| (-0.084, 0.084)|  -80| -0.120|   0.905|  -0.270|   0.787|  -80| 117.825|   0.005| 127.261|   0.001|
|  -79| -0.008| (-0.189, 0.189)| (-0.081, 0.081)|  -79| -0.081|   0.935|  -0.189|   0.850|  -79| 117.770|   0.004| 127.188|   0.001|
|  -78|  0.058| (-0.189, 0.189)| (-0.089, 0.089)|  -78|  0.601|   0.548|   1.267|   0.205|  -78| 117.745|   0.003| 127.153|   0.000|
|  -77|  0.064| (-0.189, 0.189)| (-0.108, 0.108)|  -77|  0.664|   0.507|   1.160|   0.246|  -77| 116.444|   0.003| 125.548|   0.001|
|  -76|  0.083| (-0.189, 0.189)| (-0.110, 0.110)|  -76|  0.861|   0.389|   1.482|   0.138|  -76| 114.909|   0.003| 124.202|   0.001|
|  -75|  0.086| (-0.189, 0.189)| (-0.103, 0.103)|  -75|  0.890|   0.374|   1.624|   0.104|  -75| 112.407|   0.004| 122.004|   0.001|
|  -74|  0.154| (-0.189, 0.189)| (-0.120, 0.120)|  -74|  1.601|   0.109|   2.513|   0.012|  -74| 109.817|   0.005|  76.108|   0.443|
|  -73|  0.081| (-0.189, 0.189)| (-0.096, 0.096)|  -73|  0.846|   0.398|   1.664|   0.096|  -73| 101.677|   0.018|  75.593|   0.427|
|  -72|  0.079| (-0.189, 0.189)| (-0.112, 0.112)|  -72|  0.824|   0.410|   1.387|   0.165|  -72|  99.469|   0.021|  78.649|   0.305|
|  -71|  0.000| (-0.189, 0.189)| (-0.124, 0.124)|  -71|  0.004|   0.997|   0.006|   0.995|  -71|  97.432|   0.025|  58.895|   0.866|
|  -70|  0.000| (-0.189, 0.189)| (-0.147, 0.147)|  -70| -0.005|   0.996|  -0.006|   0.995|  -70|  97.432|   0.020|  58.661|   0.852|
|  -69| -0.041| (-0.189, 0.189)| (-0.122, 0.122)|  -69| -0.427|   0.670|  -0.661|   0.509|  -69|  97.432|   0.017|  60.374|   0.787|
|  -68| -0.015| (-0.189, 0.189)| (-0.120, 0.120)|  -68| -0.153|   0.878|  -0.241|   0.810|  -68|  96.927|   0.015|  59.937|   0.774|
|  -67| -0.058| (-0.189, 0.189)| (-0.105, 0.105)|  -67| -0.601|   0.548|  -1.079|   0.280|  -67|  96.864|   0.012|  59.880|   0.748|
|  -66| -0.006| (-0.189, 0.189)| (-0.087, 0.087)|  -66| -0.059|   0.953|  -0.129|   0.897|  -66|  95.913|   0.012|  59.155|   0.741|
|  -65|  0.018| (-0.189, 0.189)| (-0.113, 0.113)|  -65|  0.191|   0.849|   0.319|   0.749|  -65|  95.904|   0.010|  58.480|   0.733|
|  -64|  0.064| (-0.189, 0.189)| (-0.112, 0.112)|  -64|  0.666|   0.506|   1.124|   0.261|  -64|  95.813|   0.008|  53.005|   0.857|
|  -63|  0.133| (-0.189, 0.189)| (-0.133, 0.133)|  -63|  1.383|   0.167|   1.959|   0.050|  -63|  94.725|   0.008|  59.310|   0.643|
|  -62|  0.073| (-0.189, 0.189)| (-0.137, 0.137)|  -62|  0.763|   0.445|   1.052|   0.293|  -62|  90.136|   0.014|  57.519|   0.671|
|  -61|  0.103| (-0.189, 0.189)| (-0.125, 0.125)|  -61|  1.072|   0.284|   1.622|   0.105|  -61|  88.770|   0.015|  56.411|   0.676|
|  -60|  0.056| (-0.189, 0.189)| (-0.100, 0.100)|  -60|  0.579|   0.562|   1.096|   0.273|  -60|  86.131|   0.019|  53.779|   0.733|
|  -59| -0.009| (-0.189, 0.189)| (-0.124, 0.124)|  -59| -0.095|   0.924|  -0.144|   0.885|  -59|  85.376|   0.017|  52.504|   0.743|
|  -58|  0.005| (-0.189, 0.189)| (-0.153, 0.153)|  -58|  0.047|   0.962|   0.058|   0.954|  -58|  85.356|   0.014|  52.589|   0.709|
|  -57| -0.090| (-0.189, 0.189)| (-0.135, 0.135)|  -57| -0.933|   0.351|  -1.303|   0.193|  -57|  85.351|   0.011|  49.022|   0.793|
|  -56| -0.035| (-0.189, 0.189)| (-0.127, 0.127)|  -56| -0.363|   0.716|  -0.540|   0.589|  -56|  83.509|   0.013|  47.228|   0.819|
|  -55| -0.021| (-0.189, 0.189)| (-0.118, 0.118)|  -55| -0.216|   0.829|  -0.344|   0.731|  -55|  83.235|   0.011|  46.971|   0.800|
|  -54|  0.039| (-0.189, 0.189)| (-0.156, 0.156)|  -54|  0.400|   0.689|   0.485|   0.627|  -54|  83.140|   0.008|  46.407|   0.789|
|  -53|  0.098| (-0.189, 0.189)| (-0.132, 0.132)|  -53|  1.023|   0.306|   1.458|   0.145|  -53|  82.819|   0.007|  46.171|   0.767|
|  -52|  0.060| (-0.189, 0.189)| (-0.166, 0.166)|  -52|  0.626|   0.531|   0.711|   0.477|  -52|  80.764|   0.008|  36.792|   0.956|
|  -51|  0.135| (-0.189, 0.189)| (-0.192, 0.192)|  -51|  1.406|   0.160|   1.380|   0.168|  -51|  80.007|   0.008|  36.660|   0.947|
|  -50|  0.210| (-0.189, 0.189)| (-0.213, 0.213)|  -50|  2.179| **0.029|   1.932|   0.053|  -50|  76.262|   0.013|  34.756|   0.960|
|  -49|  0.133| (-0.189, 0.189)| (-0.180, 0.180)|  -49|  1.379|   0.168|   1.443|   0.149|  -49|  67.421|   0.051|  10.707|   1.000|
|  -48|  0.106| (-0.189, 0.189)| (-0.138, 0.138)|  -48|  1.105|   0.269|   1.506|   0.132|  -48|  63.941|   0.074|  39.455|   0.833|
|  -47| -0.002| (-0.189, 0.189)| (-0.123, 0.123)|  -47| -0.017|   0.987|  -0.025|   0.980|  -47|  61.743|   0.088|  29.160|   0.986|
|  -46|  0.027| (-0.189, 0.189)| (-0.144, 0.144)|  -46|  0.276|   0.783|   0.361|   0.718|  -46|  61.743|   0.073| 246.401|   0.000|
|  -45|  0.023| (-0.189, 0.189)| (-0.183, 0.183)|  -45|  0.239|   0.811|   0.247|   0.805|  -45|  61.610|   0.062|  28.549|   0.980|
|  -44| -0.013| (-0.189, 0.189)| (-0.155, 0.155)|  -44| -0.137|   0.891|  -0.167|   0.867|  -44|  61.512|   0.051|  28.346|   0.975|
|  -43| -0.021| (-0.189, 0.189)| (-0.124, 0.124)|  -43| -0.215|   0.830|  -0.326|   0.745|  -43|  61.480|   0.042|  32.095|   0.909|
|  -42| -0.067| (-0.189, 0.189)| (-0.124, 0.124)|  -42| -0.700|   0.484|  -1.065|   0.287|  -42|  61.403|   0.034|  31.618|   0.900|
|  -41| -0.124| (-0.189, 0.189)| (-0.127, 0.127)|  -41| -1.293|   0.196|  -1.927|   0.054|  -41|  60.602|   0.031|  31.278|   0.887|
|  -40| -0.112| (-0.189, 0.189)| (-0.154, 0.154)|  -40| -1.160|   0.246|  -1.422|   0.155|  -40|  57.906|   0.042|  29.810|   0.902|
|  -39| -0.069| (-0.189, 0.189)| (-0.160, 0.160)|  -39| -0.715|   0.474|  -0.843|   0.399|  -39|  55.768|   0.050| 663.754|   0.000|
|  -38| -0.014| (-0.189, 0.189)| (-0.189, 0.189)|  -38| -0.149|   0.882|  -0.149|   0.882|  -38|  54.967|   0.046|   6.800|   1.000|
|  -37| -0.005| (-0.189, 0.189)| (-0.190, 0.190)|  -37| -0.054|   0.957|  -0.054|   0.957|  -37|  54.933|   0.037|   6.565|   1.000|
|  -36| -0.032| (-0.189, 0.189)| (-0.162, 0.162)|  -36| -0.336|   0.737|  -0.392|   0.695|  -36|  54.928|   0.029|   6.474|   1.000|
|  -35| -0.029| (-0.189, 0.189)| (-0.153, 0.153)|  -35| -0.297|   0.766|  -0.366|   0.714|  -35|  54.758|   0.023|      NA|      NA|
|  -34| -0.073| (-0.189, 0.189)| (-0.171, 0.171)|  -34| -0.758|   0.449|  -0.834|   0.404|  -34|  54.628|   0.018|  10.702|   1.000|
|  -33| -0.040| (-0.189, 0.189)| (-0.200, 0.200)|  -33| -0.413|   0.680|  -0.388|   0.698|  -33|  53.789|   0.017|      NA|      NA|
|  -32| -0.112| (-0.189, 0.189)| (-0.209, 0.209)|  -32| -1.168|   0.243|  -1.052|   0.293|  -32|  53.544|   0.013|      NA|      NA|
|  -31| -0.052| (-0.189, 0.189)| (-0.192, 0.192)|  -31| -0.544|   0.586|  -0.534|   0.593|  -31|  51.606|   0.016|  25.598|   0.781|
|  -30| -0.144| (-0.189, 0.189)| (-0.167, 0.167)|  -30| -1.498|   0.134|  -1.688|   0.092|  -30|  51.191|   0.013|  12.091|   0.999|
|  -29| -0.152| (-0.189, 0.189)| (-0.171, 0.171)|  -29| -1.577|   0.115|  -1.738|   0.082|  -29|  48.085|   0.019|  15.045|   0.989|
|  -28| -0.122| (-0.189, 0.189)| (-0.171, 0.171)|  -28| -1.272|   0.203|  -1.402|   0.161|  -28|  44.685|   0.032|  14.707|   0.987|
|  -27| -0.051| (-0.189, 0.189)| (-0.163, 0.163)|  -27| -0.532|   0.595|  -0.614|   0.539|  -27|  42.500|   0.039|   7.003|   1.000|
|  -26| -0.019| (-0.189, 0.189)| (-0.179, 0.179)|  -26| -0.201|   0.841|  -0.213|   0.832|  -26|  42.123|   0.032|   6.977|   1.000|
|  -25|  0.070| (-0.189, 0.189)| (-0.217, 0.217)|  -25|  0.723|   0.470|   0.627|   0.530|  -25|  42.069|   0.024|  25.970|   0.465|
|  -24| -0.004| (-0.189, 0.189)| (-0.169, 0.169)|  -24| -0.039|   0.969|  -0.043|   0.965|  -24|  41.389|   0.021|  13.322|   0.972|
|  -23|  0.042| (-0.189, 0.189)| (-0.155, 0.155)|  -23|  0.440|   0.660|   0.537|   0.591|  -23|  41.388|   0.015|  13.111|   0.964|
|  -22|  0.119| (-0.189, 0.189)| (-0.197, 0.197)|  -22|  1.236|   0.216|   1.181|   0.238|  -22|  41.141|   0.011|  12.949|   0.953|
|  -21|  0.203| (-0.189, 0.189)| (-0.215, 0.215)|  -21|  2.114| **0.034|   1.857|   0.063|  -21|  39.222|   0.013|  11.555|   0.966|
|  -20|  0.042| (-0.189, 0.189)| (-0.225, 0.225)|  -20|  0.433|   0.665|   0.362|   0.717|  -20|  33.672|   0.039|   8.107|   0.995|
|  -19| -0.004| (-0.189, 0.189)| (-0.180, 0.180)|  -19| -0.044|   0.965|  -0.046|   0.963|  -19|  33.441|   0.030|   7.033|   0.997|
|  -18|  0.016| (-0.189, 0.189)| (-0.164, 0.164)|  -18|  0.163|   0.871|   0.188|   0.851|  -18|  33.439|   0.021|   9.541|   0.963|
